Produto,Área_negócio,Subdivisão,Data_venda,Valor_vendas,Quantidade,Gama,Gama_2,Interface,Descrição,Descrição_detalhada,Subdivisão_agrupada,No_mês,Nome_mês,No_ano,Ciclos,Produto e Descrição Detalhada
1713965,Pediatria,CLINTOPS,15-10-2018,"897,07",180,Gama6,Julia,uQB,Desc11,DescDet6,CLIN,10,Outubro,2018,3º (SET-DEZ),1713965 - DescDet6
9807652,Ginecologia,CLINTA,07-04-2023,"533,54",55,Gama7,Jennifer,tSo,Desc8,DescDet9,CLIN,4,Abril,2023,1º (JAN-ABR),9807652 - DescDet9
5868570,Ortopedia,CASAMED,19-04-2023,"949,25",21,Gama9,Sandra,Vby,Desc6,DescDet9,CASA,4,Abril,2023,1º (JAN-ABR),5868570 - DescDet9
6872032,Pediatria,CLINTR,18-12-2022,"256,94",89,Gama4,Jennifer,gcB,Desc6,DescDet6,CLIN,12,Dezembro,2022,3º (SET-DEZ),6872032 - DescDet6
4225258,Ginecologia,CASAJAR,18-10-2022,"451,73",108,Gama6,Scarlett,lDv,Desc7,DescDet11,CASA,10,Outubro,2022,3º (SET-DEZ),4225258 - DescDet11
6872032,Pediatria,CLINTR,18-03-2023,"350,67",141,Gama4,Jennifer,oLd,Desc6,DescDet6,CLIN,3,Março,2023,1º (JAN-ABR),6872032 - DescDet6
4225258,Ginecologia,CASAJAR,01-06-2018,"389,16",94,Gama6,Scarlett,idG,Desc7,DescDet11,CASA,6,Junho,2018,2º (MAI-AGO),4225258 - DescDet11
9807652,Ginecologia,CLINTA,13-01-2018,"630,97",157,Gama7,Jennifer,Gue,Desc8,DescDet9,CLIN,1,Janeiro,2018,1º (JAN-ABR),9807652 - DescDet9
6525808,Outros,CLINTA,15-01-2020,"114,4",30,Gama2,Julia,tAt,Desc1,DescDet5,CLIN,1,Janeiro,2020,1º (JAN-ABR),6525808 - DescDet5
6022768,Ortopedia,CLINTAL,16-03-2018,"818,27",27,Gama4,Charlize,TYR,Desc9,DescDet6,CLIN,3,Março,2018,1º (JAN-ABR),6022768 - DescDet6
6525808,Outros,CLINTA,24-03-2019,"623,4",109,Gama2,Julia,BlF,Desc1,DescDet5,CLIN,3,Março,2019,1º (JAN-ABR),6525808 - DescDet5
0402501,Ginecologia,CASAJAR,18-10-2021,"298,34",29,Gama1,Keira,hfg,Desc5,DescDet1,CASA,10,Outubro,2021,3º (SET-DEZ),0402501 - DescDet1
2983639,Cardiologia,CASAJAR,02-05-2021,"580,27",83,Gama8,Kate,Urs,Desc8,DescDet6,CASA,5,Maio,2021,2º (MAI-AGO),2983639 - DescDet6
1713965,Pediatria,CLINTOPS,04-02-2019,"335,67",153,Gama6,Julia,Oyr,Desc11,DescDet6,CLIN,2,Fevereiro,2019,1º (JAN-ABR),1713965 - DescDet6
6319300,Cardiologia,CASARE,08-08-2018,"484,61",154,Gama3,Keira,CiU,Desc8,DescDet1,CASA,8,Agosto,2018,2º (MAI-AGO),6319300 - DescDet1
2983639,Cardiologia,CASAJAR,27-10-2019,"374,25",178,Gama8,Kate,nkH,Desc8,DescDet6,CASA,10,Outubro,2019,3º (SET-DEZ),2983639 - DescDet6
4225258,Ginecologia,CASAJAR,08-02-2023,"861,79",110,Gama6,Scarlett,XCQ,Desc7,DescDet11,CASA,2,Fevereiro,2023,1º (JAN-ABR),4225258 - DescDet11
6525808,Outros,CLINTA,23-02-2021,"671,58",121,Gama2,Julia,xEN,Desc1,DescDet5,CLIN,2,Fevereiro,2021,1º (JAN-ABR),6525808 - DescDet5
6872032,Pediatria,CLINTR,19-04-2020,"763,34",49,Gama4,Jennifer,eqS,Desc6,DescDet6,CLIN,4,Abril,2020,1º (JAN-ABR),6872032 - DescDet6
4225258,Ginecologia,CASAJAR,08-07-2021,"364,24",187,Gama6,Scarlett,mGv,Desc7,DescDet11,CASA,7,Julho,2021,2º (MAI-AGO),4225258 - DescDet11
0402501,Ginecologia,CASAJAR,21-12-2023,"510,05",21,Gama1,Keira,faS,Desc5,DescDet1,CASA,12,Dezembro,2023,3º (SET-DEZ),0402501 - DescDet1
3295001,Ortopedia,CLINTAL,10-12-2020,"960,57",200,Gama8,Emma,Kjh,Desc2,DescDet3,CLIN,12,Dezembro,2020,3º (SET-DEZ),3295001 - DescDet3
9807652,Ginecologia,CLINTA,30-12-2020,"570,3",51,Gama7,Jennifer,uqx,Desc8,DescDet9,CLIN,12,Dezembro,2020,3º (SET-DEZ),9807652 - DescDet9
0402501,Ginecologia,CASAJAR,07-02-2023,"348,23",66,Gama1,Keira,arR,Desc5,DescDet1,CASA,2,Fevereiro,2023,1º (JAN-ABR),0402501 - DescDet1
6022768,Ortopedia,CLINTAL,11-12-2023,"511,33",75,Gama4,Charlize,iQr,Desc9,DescDet6,CLIN,12,Dezembro,2023,3º (SET-DEZ),6022768 - DescDet6
8687593,Cardiologia,CASARE,02-05-2019,"456,56",15,Gama5,Angelina,bya,Desc3,DescDet4,CASA,5,Maio,2019,2º (MAI-AGO),8687593 - DescDet4
2983639,Cardiologia,CASAJAR,10-09-2020,"437,66",62,Gama8,Kate,Qeh,Desc8,DescDet6,CASA,9,Setembro,2020,3º (SET-DEZ),2983639 - DescDet6
9807652,Ginecologia,CLINTA,28-10-2021,"588,01",109,Gama7,Jennifer,hkh,Desc8,DescDet9,CLIN,10,Outubro,2021,3º (SET-DEZ),9807652 - DescDet9
5868570,Ortopedia,CASAMED,24-08-2020,"506,24",14,Gama9,Sandra,IBQ,Desc6,DescDet9,CASA,8,Agosto,2020,2º (MAI-AGO),5868570 - DescDet9
2983639,Cardiologia,CASAJAR,12-09-2023,"686,64",55,Gama8,Kate,rvV,Desc8,DescDet6,CASA,9,Setembro,2023,3º (SET-DEZ),2983639 - DescDet6
0402501,Ginecologia,CASAJAR,10-11-2021,"870,53",177,Gama1,Keira,Tdh,Desc5,DescDet1,CASA,11,Novembro,2021,3º (SET-DEZ),0402501 - DescDet1
2983639,Cardiologia,CASAJAR,25-11-2018,"890,62",47,Gama8,Kate,qng,Desc8,DescDet6,CASA,11,Novembro,2018,3º (SET-DEZ),2983639 - DescDet6
6872032,Pediatria,CLINTR,14-01-2018,"330,77",130,Gama4,Jennifer,udV,Desc6,DescDet6,CLIN,1,Janeiro,2018,1º (JAN-ABR),6872032 - DescDet6
0402501,Ginecologia,CASAJAR,13-03-2020,"472,68",176,Gama1,Keira,Gqz,Desc5,DescDet1,CASA,3,Março,2020,1º (JAN-ABR),0402501 - DescDet1
4225258,Ginecologia,CASAJAR,03-02-2021,"520,62",119,Gama6,Scarlett,xQm,Desc7,DescDet11,CASA,2,Fevereiro,2021,1º (JAN-ABR),4225258 - DescDet11
3295001,Ortopedia,CLINTAL,07-06-2022,"711,49",133,Gama8,Emma,lPd,Desc2,DescDet3,CLIN,6,Junho,2022,2º (MAI-AGO),3295001 - DescDet3
6872032,Pediatria,CLINTR,03-01-2019,"448,93",95,Gama4,Jennifer,oEL,Desc6,DescDet6,CLIN,1,Janeiro,2019,1º (JAN-ABR),6872032 - DescDet6
0402501,Ginecologia,CASAJAR,19-03-2020,"310,46",113,Gama1,Keira,nHV,Desc5,DescDet1,CASA,3,Março,2020,1º (JAN-ABR),0402501 - DescDet1
9807652,Ginecologia,CLINTA,04-04-2019,"598,11",42,Gama7,Jennifer,Nkq,Desc8,DescDet9,CLIN,4,Abril,2019,1º (JAN-ABR),9807652 - DescDet9
4225258,Ginecologia,CASAJAR,02-10-2023,"828,22",91,Gama6,Scarlett,FLA,Desc7,DescDet11,CASA,10,Outubro,2023,3º (SET-DEZ),4225258 - DescDet11
5868570,Ortopedia,CASAMED,26-02-2021,"968,21",189,Gama9,Sandra,frp,Desc6,DescDet9,CASA,2,Fevereiro,2021,1º (JAN-ABR),5868570 - DescDet9
2202126,Outros,CASARE,31-10-2022,"160,43",26,Gama8,Meryl,qrx,Desc9,DescDet8,CASA,10,Outubro,2022,3º (SET-DEZ),2202126 - DescDet8
5868570,Ortopedia,CASAMED,14-01-2019,"693,21",150,Gama9,Sandra,oqr,Desc6,DescDet9,CASA,1,Janeiro,2019,1º (JAN-ABR),5868570 - DescDet9
3322966,Pediatria,CLINTAL,05-04-2021,"894,04",173,Gama3,Scarlett,bpo,Desc2,DescDet3,CLIN,4,Abril,2021,1º (JAN-ABR),3322966 - DescDet3
5868570,Ortopedia,CASAMED,24-11-2022,"178,42",15,Gama9,Sandra,cWd,Desc6,DescDet9,CASA,11,Novembro,2022,3º (SET-DEZ),5868570 - DescDet9
3295001,Ortopedia,CLINTAL,03-06-2022,"435,49",55,Gama8,Emma,cQI,Desc2,DescDet3,CLIN,6,Junho,2022,2º (MAI-AGO),3295001 - DescDet3
3295001,Ortopedia,CLINTAL,22-02-2019,"565,78",139,Gama8,Emma,gvP,Desc2,DescDet3,CLIN,2,Fevereiro,2019,1º (JAN-ABR),3295001 - DescDet3
0402501,Ginecologia,CASAJAR,18-05-2018,"648,04",77,Gama1,Keira,NGD,Desc5,DescDet1,CASA,5,Maio,2018,2º (MAI-AGO),0402501 - DescDet1
9807652,Ginecologia,CLINTA,15-03-2019,"130,2",171,Gama7,Jennifer,Eeq,Desc8,DescDet9,CLIN,3,Março,2019,1º (JAN-ABR),9807652 - DescDet9
6872032,Pediatria,CLINTR,10-11-2018,"153,83",147,Gama4,Jennifer,xnR,Desc6,DescDet6,CLIN,11,Novembro,2018,3º (SET-DEZ),6872032 - DescDet6
3295001,Ortopedia,CLINTAL,17-01-2023,"507,53",67,Gama8,Emma,cCb,Desc2,DescDet3,CLIN,1,Janeiro,2023,1º (JAN-ABR),3295001 - DescDet3
2983639,Cardiologia,CASAJAR,16-01-2018,"932,05",76,Gama8,Kate,mOe,Desc8,DescDet6,CASA,1,Janeiro,2018,1º (JAN-ABR),2983639 - DescDet6
2202126,Outros,CASARE,30-10-2019,"250,24",121,Gama8,Meryl,ECk,Desc9,DescDet8,CASA,10,Outubro,2019,3º (SET-DEZ),2202126 - DescDet8
4225258,Ginecologia,CASAJAR,22-07-2018,"858,81",62,Gama6,Scarlett,SuJ,Desc7,DescDet11,CASA,7,Julho,2018,2º (MAI-AGO),4225258 - DescDet11
9807652,Ginecologia,CLINTA,06-04-2020,"109,98",170,Gama7,Jennifer,wRk,Desc8,DescDet9,CLIN,4,Abril,2020,1º (JAN-ABR),9807652 - DescDet9
8687593,Cardiologia,CASARE,18-01-2018,"565,32",154,Gama5,Angelina,btm,Desc3,DescDet4,CASA,1,Janeiro,2018,1º (JAN-ABR),8687593 - DescDet4
3295001,Ortopedia,CLINTAL,16-07-2018,"401,07",46,Gama8,Emma,Djn,Desc2,DescDet3,CLIN,7,Julho,2018,2º (MAI-AGO),3295001 - DescDet3
1713965,Pediatria,CLINTOPS,21-06-2019,"727,75",185,Gama6,Julia,ENE,Desc11,DescDet6,CLIN,6,Junho,2019,2º (MAI-AGO),1713965 - DescDet6
3322966,Pediatria,CLINTAL,29-07-2019,"684,83",83,Gama3,Scarlett,kIS,Desc2,DescDet3,CLIN,7,Julho,2019,2º (MAI-AGO),3322966 - DescDet3
2202126,Outros,CASARE,17-12-2018,"853,87",151,Gama8,Meryl,uqR,Desc9,DescDet8,CASA,12,Dezembro,2018,3º (SET-DEZ),2202126 - DescDet8
2983639,Cardiologia,CASAJAR,22-04-2022,"446,55",120,Gama8,Kate,Zcg,Desc8,DescDet6,CASA,4,Abril,2022,1º (JAN-ABR),2983639 - DescDet6
8687593,Cardiologia,CASARE,11-10-2020,"361,05",56,Gama5,Angelina,lGm,Desc3,DescDet4,CASA,10,Outubro,2020,3º (SET-DEZ),8687593 - DescDet4
3295001,Ortopedia,CLINTAL,23-02-2018,"312,57",186,Gama8,Emma,sCE,Desc2,DescDet3,CLIN,2,Fevereiro,2018,1º (JAN-ABR),3295001 - DescDet3
3295001,Ortopedia,CLINTAL,28-12-2018,"470,71",102,Gama8,Emma,gqR,Desc2,DescDet3,CLIN,12,Dezembro,2018,3º (SET-DEZ),3295001 - DescDet3
0402501,Ginecologia,CASAJAR,30-10-2020,"894,07",137,Gama1,Keira,jFb,Desc5,DescDet1,CASA,10,Outubro,2020,3º (SET-DEZ),0402501 - DescDet1
6740395,Ginecologia,CASAJAR,10-02-2021,"129,94",105,Gama1,Scarlett,lqT,Desc5,DescDet4,CASA,2,Fevereiro,2021,1º (JAN-ABR),6740395 - DescDet4
6319300,Cardiologia,CASARE,10-07-2018,"909,48",159,Gama3,Keira,Fll,Desc8,DescDet1,CASA,7,Julho,2018,2º (MAI-AGO),6319300 - DescDet1
2202126,Outros,CASARE,26-09-2020,"305,1",160,Gama8,Meryl,iOj,Desc9,DescDet8,CASA,9,Setembro,2020,3º (SET-DEZ),2202126 - DescDet8
6872032,Pediatria,CLINTR,21-09-2022,"323,18",95,Gama4,Jennifer,aAH,Desc6,DescDet6,CLIN,9,Setembro,2022,3º (SET-DEZ),6872032 - DescDet6
5868570,Ortopedia,CASAMED,26-05-2023,"340,31",152,Gama9,Sandra,lYo,Desc6,DescDet9,CASA,5,Maio,2023,2º (MAI-AGO),5868570 - DescDet9
6022768,Ortopedia,CLINTAL,17-11-2020,"482,33",71,Gama4,Charlize,RXY,Desc9,DescDet6,CLIN,11,Novembro,2020,3º (SET-DEZ),6022768 - DescDet6
3295001,Ortopedia,CLINTAL,04-12-2019,"558,28",74,Gama8,Emma,Ngj,Desc2,DescDet3,CLIN,12,Dezembro,2019,3º (SET-DEZ),3295001 - DescDet3
6525808,Outros,CLINTA,25-06-2022,"290,15",118,Gama2,Julia,vxG,Desc1,DescDet5,CLIN,6,Junho,2022,2º (MAI-AGO),6525808 - DescDet5
6319300,Cardiologia,CASARE,06-03-2020,"456,72",13,Gama3,Keira,csJ,Desc8,DescDet1,CASA,3,Março,2020,1º (JAN-ABR),6319300 - DescDet1
4225258,Ginecologia,CASAJAR,07-10-2021,"680,15",65,Gama6,Scarlett,mIJ,Desc7,DescDet11,CASA,10,Outubro,2021,3º (SET-DEZ),4225258 - DescDet11
5868570,Ortopedia,CASAMED,26-11-2020,"699,28",193,Gama9,Sandra,vaZ,Desc6,DescDet9,CASA,11,Novembro,2020,3º (SET-DEZ),5868570 - DescDet9
6740395,Ginecologia,CASAJAR,10-04-2020,"120,03",89,Gama1,Scarlett,Tkk,Desc5,DescDet4,CASA,4,Abril,2020,1º (JAN-ABR),6740395 - DescDet4
2983639,Cardiologia,CASAJAR,06-03-2023,"464,1",106,Gama8,Kate,qzh,Desc8,DescDet6,CASA,3,Março,2023,1º (JAN-ABR),2983639 - DescDet6
8687593,Cardiologia,CASARE,27-08-2023,"730,76",35,Gama5,Angelina,NLu,Desc3,DescDet4,CASA,8,Agosto,2023,2º (MAI-AGO),8687593 - DescDet4
6022768,Ortopedia,CLINTAL,15-12-2019,"898,9",200,Gama4,Charlize,hTi,Desc9,DescDet6,CLIN,12,Dezembro,2019,3º (SET-DEZ),6022768 - DescDet6
9807652,Ginecologia,CLINTA,17-09-2021,"208,22",84,Gama7,Jennifer,azH,Desc8,DescDet9,CLIN,9,Setembro,2021,3º (SET-DEZ),9807652 - DescDet9
0402501,Ginecologia,CASAJAR,24-01-2021,"939,71",162,Gama1,Keira,sJv,Desc5,DescDet1,CASA,1,Janeiro,2021,1º (JAN-ABR),0402501 - DescDet1
2983639,Cardiologia,CASAJAR,27-08-2022,"264,73",40,Gama8,Kate,KXD,Desc8,DescDet6,CASA,8,Agosto,2022,2º (MAI-AGO),2983639 - DescDet6
3322966,Pediatria,CLINTAL,07-01-2022,"265,07",136,Gama3,Scarlett,vnY,Desc2,DescDet3,CLIN,1,Janeiro,2022,1º (JAN-ABR),3322966 - DescDet3
4225258,Ginecologia,CASAJAR,20-09-2020,"469,28",138,Gama6,Scarlett,JCU,Desc7,DescDet11,CASA,9,Setembro,2020,3º (SET-DEZ),4225258 - DescDet11
2983639,Cardiologia,CASAJAR,26-05-2023,"871,86",65,Gama8,Kate,dty,Desc8,DescDet6,CASA,5,Maio,2023,2º (MAI-AGO),2983639 - DescDet6
6872032,Pediatria,CLINTR,28-04-2021,"920,1",185,Gama4,Jennifer,LZZ,Desc6,DescDet6,CLIN,4,Abril,2021,1º (JAN-ABR),6872032 - DescDet6
3322966,Pediatria,CLINTAL,18-05-2022,"678,14",14,Gama3,Scarlett,kRI,Desc2,DescDet3,CLIN,5,Maio,2022,2º (MAI-AGO),3322966 - DescDet3
4225258,Ginecologia,CASAJAR,09-05-2020,"798,49",30,Gama6,Scarlett,DyF,Desc7,DescDet11,CASA,5,Maio,2020,2º (MAI-AGO),4225258 - DescDet11
0402501,Ginecologia,CASAJAR,18-04-2021,"652,88",116,Gama1,Keira,FCJ,Desc5,DescDet1,CASA,4,Abril,2021,1º (JAN-ABR),0402501 - DescDet1
6319300,Cardiologia,CASARE,03-02-2019,"793,99",199,Gama3,Keira,wVH,Desc8,DescDet1,CASA,2,Fevereiro,2019,1º (JAN-ABR),6319300 - DescDet1
2983639,Cardiologia,CASAJAR,21-08-2020,"506,91",72,Gama8,Kate,Nsr,Desc8,DescDet6,CASA,8,Agosto,2020,2º (MAI-AGO),2983639 - DescDet6
8687593,Cardiologia,CASARE,22-09-2018,"682,34",108,Gama5,Angelina,APA,Desc3,DescDet4,CASA,9,Setembro,2018,3º (SET-DEZ),8687593 - DescDet4
1713965,Pediatria,CLINTOPS,24-10-2020,"487,82",200,Gama6,Julia,XZB,Desc11,DescDet6,CLIN,10,Outubro,2020,3º (SET-DEZ),1713965 - DescDet6
3322966,Pediatria,CLINTAL,19-05-2018,"296,23",185,Gama3,Scarlett,hAa,Desc2,DescDet3,CLIN,5,Maio,2018,2º (MAI-AGO),3322966 - DescDet3
3322966,Pediatria,CLINTAL,15-02-2022,"783,93",188,Gama3,Scarlett,abO,Desc2,DescDet3,CLIN,2,Fevereiro,2022,1º (JAN-ABR),3322966 - DescDet3
2202126,Outros,CASARE,11-03-2019,"708,63",178,Gama8,Meryl,NxJ,Desc9,DescDet8,CASA,3,Março,2019,1º (JAN-ABR),2202126 - DescDet8
4225258,Ginecologia,CASAJAR,21-09-2022,"827,5",192,Gama6,Scarlett,EhL,Desc7,DescDet11,CASA,9,Setembro,2022,3º (SET-DEZ),4225258 - DescDet11
8687593,Cardiologia,CASARE,15-05-2022,"142,02",57,Gama5,Angelina,cRX,Desc3,DescDet4,CASA,5,Maio,2022,2º (MAI-AGO),8687593 - DescDet4
2983639,Cardiologia,CASAJAR,22-07-2023,"523,66",170,Gama8,Kate,GZQ,Desc8,DescDet6,CASA,7,Julho,2023,2º (MAI-AGO),2983639 - DescDet6
8687593,Cardiologia,CASARE,06-12-2021,"284,72",168,Gama5,Angelina,NGB,Desc3,DescDet4,CASA,12,Dezembro,2021,3º (SET-DEZ),8687593 - DescDet4
6319300,Cardiologia,CASARE,19-10-2023,"473,24",191,Gama3,Keira,CIS,Desc8,DescDet1,CASA,10,Outubro,2023,3º (SET-DEZ),6319300 - DescDet1
0402501,Ginecologia,CASAJAR,28-09-2023,"374,21",179,Gama1,Keira,PFH,Desc5,DescDet1,CASA,9,Setembro,2023,3º (SET-DEZ),0402501 - DescDet1
6525808,Outros,CLINTA,23-07-2023,"831,89",153,Gama2,Julia,qqB,Desc1,DescDet5,CLIN,7,Julho,2023,2º (MAI-AGO),6525808 - DescDet5
0402501,Ginecologia,CASAJAR,15-12-2019,"726,74",56,Gama1,Keira,MGX,Desc5,DescDet1,CASA,12,Dezembro,2019,3º (SET-DEZ),0402501 - DescDet1
1713965,Pediatria,CLINTOPS,14-01-2019,"724,24",30,Gama6,Julia,sPX,Desc11,DescDet6,CLIN,1,Janeiro,2019,1º (JAN-ABR),1713965 - DescDet6
4225258,Ginecologia,CASAJAR,17-06-2021,"881,61",182,Gama6,Scarlett,XpP,Desc7,DescDet11,CASA,6,Junho,2021,2º (MAI-AGO),4225258 - DescDet11
6525808,Outros,CLINTA,27-05-2021,"553,34",196,Gama2,Julia,nPV,Desc1,DescDet5,CLIN,5,Maio,2021,2º (MAI-AGO),6525808 - DescDet5
6319300,Cardiologia,CASARE,09-09-2021,"533,42",34,Gama3,Keira,tPQ,Desc8,DescDet1,CASA,9,Setembro,2021,3º (SET-DEZ),6319300 - DescDet1
3322966,Pediatria,CLINTAL,12-06-2022,"459,82",157,Gama3,Scarlett,RAN,Desc2,DescDet3,CLIN,6,Junho,2022,2º (MAI-AGO),3322966 - DescDet3
2983639,Cardiologia,CASAJAR,16-04-2023,"767,7",47,Gama8,Kate,Ajn,Desc8,DescDet6,CASA,4,Abril,2023,1º (JAN-ABR),2983639 - DescDet6
9807652,Ginecologia,CLINTA,25-09-2023,"383,42",19,Gama7,Jennifer,Ocn,Desc8,DescDet9,CLIN,9,Setembro,2023,3º (SET-DEZ),9807652 - DescDet9
3322966,Pediatria,CLINTAL,25-05-2022,"994,83",187,Gama3,Scarlett,mAf,Desc2,DescDet3,CLIN,5,Maio,2022,2º (MAI-AGO),3322966 - DescDet3
8687593,Cardiologia,CASARE,18-10-2022,"390,39",47,Gama5,Angelina,dAx,Desc3,DescDet4,CASA,10,Outubro,2022,3º (SET-DEZ),8687593 - DescDet4
0402501,Ginecologia,CASAJAR,11-12-2021,"119,72",144,Gama1,Keira,ihS,Desc5,DescDet1,CASA,12,Dezembro,2021,3º (SET-DEZ),0402501 - DescDet1
6525808,Outros,CLINTA,06-07-2021,"703,67",48,Gama2,Julia,avG,Desc1,DescDet5,CLIN,7,Julho,2021,2º (MAI-AGO),6525808 - DescDet5
6319300,Cardiologia,CASARE,04-11-2021,"372,41",160,Gama3,Keira,Klv,Desc8,DescDet1,CASA,11,Novembro,2021,3º (SET-DEZ),6319300 - DescDet1
6525808,Outros,CLINTA,02-06-2019,"224,25",78,Gama2,Julia,vXG,Desc1,DescDet5,CLIN,6,Junho,2019,2º (MAI-AGO),6525808 - DescDet5
6022768,Ortopedia,CLINTAL,21-04-2021,"845,59",174,Gama4,Charlize,ndh,Desc9,DescDet6,CLIN,4,Abril,2021,1º (JAN-ABR),6022768 - DescDet6
1713965,Pediatria,CLINTOPS,03-06-2019,"725,02",67,Gama6,Julia,bLv,Desc11,DescDet6,CLIN,6,Junho,2019,2º (MAI-AGO),1713965 - DescDet6
8687593,Cardiologia,CASARE,31-12-2018,"152,81",53,Gama5,Angelina,GDl,Desc3,DescDet4,CASA,12,Dezembro,2018,3º (SET-DEZ),8687593 - DescDet4
9807652,Ginecologia,CLINTA,02-12-2021,"683,12",115,Gama7,Jennifer,jJE,Desc8,DescDet9,CLIN,12,Dezembro,2021,3º (SET-DEZ),9807652 - DescDet9
1713965,Pediatria,CLINTOPS,20-03-2022,"604,93",62,Gama6,Julia,vUx,Desc11,DescDet6,CLIN,3,Março,2022,1º (JAN-ABR),1713965 - DescDet6
2983639,Cardiologia,CASAJAR,20-06-2019,"788,49",43,Gama8,Kate,wZr,Desc8,DescDet6,CASA,6,Junho,2019,2º (MAI-AGO),2983639 - DescDet6
0402501,Ginecologia,CASAJAR,19-06-2021,"788,36",108,Gama1,Keira,fRD,Desc5,DescDet1,CASA,6,Junho,2021,2º (MAI-AGO),0402501 - DescDet1
6740395,Ginecologia,CASAJAR,14-05-2023,"590,56",167,Gama1,Scarlett,xdX,Desc5,DescDet4,CASA,5,Maio,2023,2º (MAI-AGO),6740395 - DescDet4
3322966,Pediatria,CLINTAL,22-03-2019,"461,33",141,Gama3,Scarlett,Mrz,Desc2,DescDet3,CLIN,3,Março,2019,1º (JAN-ABR),3322966 - DescDet3
6740395,Ginecologia,CASAJAR,03-05-2021,"750,96",36,Gama1,Scarlett,ySg,Desc5,DescDet4,CASA,5,Maio,2021,2º (MAI-AGO),6740395 - DescDet4
1713965,Pediatria,CLINTOPS,06-11-2019,"126,77",65,Gama6,Julia,GBz,Desc11,DescDet6,CLIN,11,Novembro,2019,3º (SET-DEZ),1713965 - DescDet6
3322966,Pediatria,CLINTAL,04-07-2020,"451,68",100,Gama3,Scarlett,vwn,Desc2,DescDet3,CLIN,7,Julho,2020,2º (MAI-AGO),3322966 - DescDet3
2202126,Outros,CASARE,07-12-2020,"268,14",134,Gama8,Meryl,vKN,Desc9,DescDet8,CASA,12,Dezembro,2020,3º (SET-DEZ),2202126 - DescDet8
6525808,Outros,CLINTA,13-11-2021,"155,07",128,Gama2,Julia,MGF,Desc1,DescDet5,CLIN,11,Novembro,2021,3º (SET-DEZ),6525808 - DescDet5
6022768,Ortopedia,CLINTAL,04-06-2022,"162,76",113,Gama4,Charlize,WEN,Desc9,DescDet6,CLIN,6,Junho,2022,2º (MAI-AGO),6022768 - DescDet6
9807652,Ginecologia,CLINTA,18-04-2023,"786,71",26,Gama7,Jennifer,Tqp,Desc8,DescDet9,CLIN,4,Abril,2023,1º (JAN-ABR),9807652 - DescDet9
3322966,Pediatria,CLINTAL,25-04-2019,"620,09",137,Gama3,Scarlett,CiZ,Desc2,DescDet3,CLIN,4,Abril,2019,1º (JAN-ABR),3322966 - DescDet3
3295001,Ortopedia,CLINTAL,06-11-2022,"965,94",85,Gama8,Emma,KXN,Desc2,DescDet3,CLIN,11,Novembro,2022,3º (SET-DEZ),3295001 - DescDet3
2202126,Outros,CASARE,28-09-2019,"906,68",90,Gama8,Meryl,PAk,Desc9,DescDet8,CASA,9,Setembro,2019,3º (SET-DEZ),2202126 - DescDet8
0402501,Ginecologia,CASAJAR,26-08-2023,"113,35",87,Gama1,Keira,Uks,Desc5,DescDet1,CASA,8,Agosto,2023,2º (MAI-AGO),0402501 - DescDet1
6872032,Pediatria,CLINTR,05-06-2021,"272,49",166,Gama4,Jennifer,fyy,Desc6,DescDet6,CLIN,6,Junho,2021,2º (MAI-AGO),6872032 - DescDet6
6022768,Ortopedia,CLINTAL,26-07-2019,"828,63",51,Gama4,Charlize,ezT,Desc9,DescDet6,CLIN,7,Julho,2019,2º (MAI-AGO),6022768 - DescDet6
6525808,Outros,CLINTA,11-07-2019,"623,22",114,Gama2,Julia,Tkq,Desc1,DescDet5,CLIN,7,Julho,2019,2º (MAI-AGO),6525808 - DescDet5
1713965,Pediatria,CLINTOPS,12-11-2022,"790,06",60,Gama6,Julia,Qzp,Desc11,DescDet6,CLIN,11,Novembro,2022,3º (SET-DEZ),1713965 - DescDet6
8687593,Cardiologia,CASARE,25-08-2022,"558,07",104,Gama5,Angelina,sEl,Desc3,DescDet4,CASA,8,Agosto,2022,2º (MAI-AGO),8687593 - DescDet4
9807652,Ginecologia,CLINTA,01-09-2021,"654,14",97,Gama7,Jennifer,rZI,Desc8,DescDet9,CLIN,9,Setembro,2021,3º (SET-DEZ),9807652 - DescDet9
0402501,Ginecologia,CASAJAR,08-05-2022,"705,61",105,Gama1,Keira,GMC,Desc5,DescDet1,CASA,5,Maio,2022,2º (MAI-AGO),0402501 - DescDet1
4225258,Ginecologia,CASAJAR,31-01-2019,"609,99",65,Gama6,Scarlett,evN,Desc7,DescDet11,CASA,1,Janeiro,2019,1º (JAN-ABR),4225258 - DescDet11
6872032,Pediatria,CLINTR,05-09-2020,"582,86",106,Gama4,Jennifer,tWO,Desc6,DescDet6,CLIN,9,Setembro,2020,3º (SET-DEZ),6872032 - DescDet6
4225258,Ginecologia,CASAJAR,13-12-2022,"243,76",28,Gama6,Scarlett,VsK,Desc7,DescDet11,CASA,12,Dezembro,2022,3º (SET-DEZ),4225258 - DescDet11
6319300,Cardiologia,CASARE,01-03-2023,"208,0",165,Gama3,Keira,YUS,Desc8,DescDet1,CASA,3,Março,2023,1º (JAN-ABR),6319300 - DescDet1
3322966,Pediatria,CLINTAL,19-08-2020,"238,53",138,Gama3,Scarlett,JQz,Desc2,DescDet3,CLIN,8,Agosto,2020,2º (MAI-AGO),3322966 - DescDet3
